days,rate
7,0.136752
16,0.149258
44,0.217175
72,0.237194
100,0.25168
135,0.270532
163,0.291974
254,0.350735
345,0.434581
436,0.536226
527,0.646422
625,0.767209
716,0.878028
800,0.978119
898,1.087117
989,1.181088
1080,1.268145
1171,1.348723
1262,1.422041
1353,1.489564
1444,1.551752
1535,1.609851
1626,1.663703
1717,1.713982
1808,1.760974
1899,1.805152
1990,1.846671
2081,1.88588
2172,1.92328
2263,1.959089
2354,1.993103
2445,2.025521
2536,2.056696
2627,2.08641
2718,2.114807
2816,2.144008
2907,2.170016
2991,2.193208
3089,2.219096
3180,2.242163
3271,2.264506
3362,2.286184
3453,2.30725
3544,2.327751
3635,2.347729